Date,Total Value
2020-07-23,63585.76926612854
2020-07-24,63252.857409477234
2020-07-27,63882.097977638245
2020-07-28,63215.02433395386
2020-07-29,64293.53576660156
2020-07-30,64059.39032077789
2020-07-31,64088.17703008652
2020-08-03,64290.52932834625
2020-08-04,64510.436737537384
2020-08-05,64976.71407842636
2020-08-06,65004.03191137314
2020-08-07,65283.88677453995
2020-08-10,65409.396178245544
2020-08-11,65131.807450294495
2020-08-12,65944.24331188202
2020-08-13,65985.09663772583
2020-08-14,65940.09585142136
2020-08-17,66260.51909303665
2020-08-18,66261.35018825531
2020-08-19,65938.3426938057
2020-08-20,65817.98796319962
2020-08-21,65904.31646490097
2020-08-24,66430.98896694183
2020-08-25,66564.64136981964
2020-08-26,66883.49286413193
2020-08-27,66995.80821228027
2020-08-28,67415.42738485336
2020-08-31,67177.22344589233
2020-09-01,67616.98540306091
2020-09-02,68771.84014749527
2020-09-03,66562.18120718002
2020-09-04,65912.38950586319
2020-09-08,64616.75589418411
2020-09-09,65762.33257579803
2020-09-10,64807.391315460205
2020-09-11,65042.47562408447
2020-09-14,66031.21433115005
2020-09-15,66257.35642004013
2020-09-16,66428.55161762238
2020-09-17,65898.83026504517
2020-09-18,65197.54520082474
2020-09-21,64072.068434238434
2020-09-22,64656.35385990143
2020-09-23,63255.49969482422
2020-09-24,63375.72194433212
2020-09-25,64345.81999754906
2020-09-28,65524.61836767197
2020-09-29,65248.332538604736
2020-09-30,65721.22776985168
2020-10-01,66212.56201386452
2020-10-02,66021.96059274673
2020-10-05,67162.39561843872
2020-10-06,66507.65268754959
2020-10-07,67709.502109766
2020-10-08,68451.52161359787
2020-10-09,68930.06017875671
2020-10-12,69513.70522212982
2020-10-13,69280.6110033989
2020-10-14,68909.38674354553
2020-10-15,69073.94883966446
2020-10-16,69064.81317734718
2020-10-19,68076.76091313362
2020-10-20,68483.66954469681
2020-10-21,68096.79867339134
2020-10-22,68433.6808385849
2020-10-23,68918.624168396
2020-10-26,67444.33358359337
2020-10-27,66904.12958359718
2020-10-28,64945.70517086983
2020-10-29,65406.45655274391
2020-10-30,64910.89883899689
2020-11-02,66072.1431274414
2020-11-03,67422.94918704033
2020-11-04,68586.57883787155
2020-11-05,69809.9888625145
2020-11-06,69879.64859366417
2020-11-09,70584.09517431259
2020-11-10,70624.58761787415
2020-11-11,71133.78445482254
2020-11-12,70289.51069307327
2020-11-13,71430.40034389496
